"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 02 17:04:36 GMT 2025","Tue Sep 02 17:04:36 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"broken","Tue Sep 02 17:05:51 GMT 2025","Tue Sep 02 17:05:51 GMT 2025","0","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"broken","Tue Sep 02 17:05:57 GMT 2025","Tue Sep 02 17:05:57 GMT 2025","0","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Tue Sep 02 16:42:56 GMT 2025","Tue Sep 02 16:42:57 GMT 2025","753","tests.api","test_boxes_negative","","","","test_boxes_invalid_path",""
"broken","Tue Sep 02 17:04:41 GMT 2025","Tue Sep 02 17:04:41 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"broken","Tue Sep 02 17:05:16 GMT 2025","Tue Sep 02 17:05:16 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Tue Sep 02 16:42:58 GMT 2025","Tue Sep 02 16:42:59 GMT 2025","1353","tests.api","test_boxes_scheme_param","","","","test_schema_all_items",""
"passed","Tue Sep 02 16:42:54 GMT 2025","Tue Sep 02 16:42:56 GMT 2025","1379","tests.api","test_boxes_contract","","","","Boxes contract — minimal keys present on first item",""
"broken","Tue Sep 02 17:05:28 GMT 2025","Tue Sep 02 17:05:28 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"broken","Tue Sep 02 17:05:45 GMT 2025","Tue Sep 02 17:05:45 GMT 2025","0","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"broken","Tue Sep 02 17:04:53 GMT 2025","Tue Sep 02 17:04:53 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form - Successful Submission",""
"broken","Tue Sep 02 17:04:30 GMT 2025","Tue Sep 02 17:04:30 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"broken","Tue Sep 02 17:04:47 GMT 2025","Tue Sep 02 17:04:47 GMT 2025","1","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Tue Sep 02 16:42:57 GMT 2025","Tue Sep 02 16:42:58 GMT 2025","783","tests.api","test_boxes_negative","","","","test_boxes_method_not_allowed",""
"passed","Tue Sep 02 17:05:40 GMT 2025","Tue Sep 02 17:05:40 GMT 2025","1","tests.web.mobile","test_mobile_home","","","","test_mobile_home_placeholder","Placeholder test for mobile web flows."
"broken","Tue Sep 02 17:05:10 GMT 2025","Tue Sep 02 17:05:10 GMT 2025","0","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"broken","Tue Sep 02 17:05:33 GMT 2025","Tue Sep 02 17:05:33 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Contact Banner validation",""
"broken","Tue Sep 02 17:05:39 GMT 2025","Tue Sep 02 17:05:39 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Tue Sep 02 16:42:52 GMT 2025","Tue Sep 02 16:42:54 GMT 2025","1486","tests.api","test_boxes","","","","GET /open_api/boxes returns list and minimal shape",""
"broken","Tue Sep 02 17:05:04 GMT 2025","Tue Sep 02 17:05:04 GMT 2025","0","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"broken","Tue Sep 02 17:05:22 GMT 2025","Tue Sep 02 17:05:22 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"broken","Tue Sep 02 17:04:59 GMT 2025","Tue Sep 02 17:04:59 GMT 2025","0","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
