"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 03 13:09:26 GMT 2025","Wed Sep 03 13:09:27 GMT 2025","101","tests.web","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Wed Sep 03 13:09:45 GMT 2025","Wed Sep 03 13:09:47 GMT 2025","1529","tests.web","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Wed Sep 03 13:08:24 GMT 2025","Wed Sep 03 13:08:31 GMT 2025","6865","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"passed","Wed Sep 03 13:09:41 GMT 2025","Wed Sep 03 13:09:42 GMT 2025","1514","tests.web","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Wed Sep 03 13:06:35 GMT 2025","Wed Sep 03 13:06:36 GMT 2025","1417","tests.api","test_boxes_contract","","","","Boxes contract — minimal keys present on first item",""
"passed","Wed Sep 03 13:10:19 GMT 2025","Wed Sep 03 13:10:19 GMT 2025","84","tests.web","test_home_page","TestHomepage","","","Homepage Contact Banner validation",""
"passed","Wed Sep 03 13:09:57 GMT 2025","Wed Sep 03 13:09:57 GMT 2025","48","tests.web","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Wed Sep 03 13:08:37 GMT 2025","Wed Sep 03 13:08:38 GMT 2025","675","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"failed","Wed Sep 03 13:08:32 GMT 2025","Wed Sep 03 13:08:38 GMT 2025","5688","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Wed Sep 03 13:08:11 GMT 2025","Wed Sep 03 13:08:12 GMT 2025","1066","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Wed Sep 03 13:06:36 GMT 2025","Wed Sep 03 13:06:37 GMT 2025","901","tests.api","test_boxes_negative","","","","test_boxes_invalid_path",""
"passed","Wed Sep 03 13:06:39 GMT 2025","Wed Sep 03 13:06:40 GMT 2025","1515","tests.api","test_boxes_scheme_param","","","","test_schema_all_items",""
"passed","Wed Sep 03 13:06:38 GMT 2025","Wed Sep 03 13:06:38 GMT 2025","800","tests.api","test_boxes_negative","","","","test_boxes_method_not_allowed",""
"passed","Wed Sep 03 13:08:11 GMT 2025","Wed Sep 03 13:08:18 GMT 2025","7468","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"passed","Wed Sep 03 13:09:05 GMT 2025","Wed Sep 03 13:09:07 GMT 2025","1516","tests.web","test_home_contact_form","TestContactForm","","","Contact Form - Successful Submission",""
"passed","Wed Sep 03 13:10:10 GMT 2025","Wed Sep 03 13:10:10 GMT 2025","64","tests.web","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"passed","Wed Sep 03 13:09:53 GMT 2025","Wed Sep 03 13:09:54 GMT 2025","1548","tests.web","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Wed Sep 03 13:10:17 GMT 2025","Wed Sep 03 13:10:17 GMT 2025","87","tests.web","test_home_page","TestHomepage","","","Homepage Contact Banner validation",""
"failed","Wed Sep 03 13:08:59 GMT 2025","Wed Sep 03 13:09:04 GMT 2025","5668","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Wed Sep 03 13:10:25 GMT 2025","Wed Sep 03 13:10:25 GMT 2025","46","tests.web","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Wed Sep 03 13:10:13 GMT 2025","Wed Sep 03 13:10:13 GMT 2025","61","tests.web","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"passed","Wed Sep 03 13:10:24 GMT 2025","Wed Sep 03 13:10:24 GMT 2025","57","tests.web","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Wed Sep 03 13:06:33 GMT 2025","Wed Sep 03 13:06:35 GMT 2025","1491","tests.api","test_boxes","","","","GET /open_api/boxes returns list and minimal shape",""
"passed","Wed Sep 03 13:09:37 GMT 2025","Wed Sep 03 13:09:39 GMT 2025","1519","tests.web","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Wed Sep 03 13:10:07 GMT 2025","Wed Sep 03 13:10:07 GMT 2025","26","tests.web","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"passed","Wed Sep 03 13:10:00 GMT 2025","Wed Sep 03 13:10:00 GMT 2025","61","tests.web","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Wed Sep 03 13:08:43 GMT 2025","Wed Sep 03 13:08:43 GMT 2025","88","tests.web","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Wed Sep 03 13:08:58 GMT 2025","Wed Sep 03 13:08:59 GMT 2025","1507","tests.web","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Wed Sep 03 13:09:48 GMT 2025","Wed Sep 03 13:09:50 GMT 2025","1622","tests.web","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Wed Sep 03 13:09:29 GMT 2025","Wed Sep 03 13:09:31 GMT 2025","1577","tests.web","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Wed Sep 03 13:09:33 GMT 2025","Wed Sep 03 13:09:34 GMT 2025","1509","tests.web","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Wed Sep 03 13:08:50 GMT 2025","Wed Sep 03 13:08:51 GMT 2025","1506","tests.web","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
