"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Sep 05 09:36:38 GMT 2025","Fri Sep 05 09:36:38 GMT 2025","1","tests.web.admin","test_login_portal","TestLogin","","","Successful login without 2FA","User logs in with valid credentials and no 2FA"
"passed","Fri Sep 05 09:36:53 GMT 2025","Fri Sep 05 09:36:53 GMT 2025","109","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"broken","Fri Sep 05 09:36:46 GMT 2025","Fri Sep 05 09:36:46 GMT 2025","0","tests.web.admin","test_session_persistence","TestSessionPersistence","","","Direct Access to Profile Page with Auth Cookie","Verify profile page can be accessed directly with authentication cookies"
"passed","Fri Sep 05 09:34:10 GMT 2025","Fri Sep 05 09:34:10 GMT 2025","230","tests.api","test_reqres_api","TestReqresAPI","","","User login",""
"passed","Fri Sep 05 09:33:59 GMT 2025","Fri Sep 05 09:34:00 GMT 2025","834","tests.api","test_noovo_api","TestNoovoAPI","","","Get nonexistent item error handling",""
"passed","Fri Sep 05 09:36:43 GMT 2025","Fri Sep 05 09:36:43 GMT 2025","212","tests.web.admin","test_login_portal","TestLogin","","","Login form validation - empty fields","Verify form validation when submitting with empty fields"
"passed","Fri Sep 05 09:34:10 GMT 2025","Fri Sep 05 09:34:10 GMT 2025","272","tests.api","test_reqres_api","TestReqresAPI","","","User registration",""
"passed","Fri Sep 05 09:38:13 GMT 2025","Fri Sep 05 09:38:13 GMT 2025","24","tests.web.client","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"failed","Fri Sep 05 09:39:15 GMT 2025","Fri Sep 05 09:39:21 GMT 2025","5439","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 09:37:56 GMT 2025","Fri Sep 05 09:37:56 GMT 2025","52","tests.web.client","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Fri Sep 05 09:37:47 GMT 2025","Fri Sep 05 09:37:48 GMT 2025","1820","tests.web.client","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Fri Sep 05 09:37:09 GMT 2025","Fri Sep 05 09:37:11 GMT 2025","1536","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form - Successful Submission",""
"passed","Fri Sep 05 09:34:00 GMT 2025","Fri Sep 05 09:34:01 GMT 2025","1320","tests.api","test_noovo_api","TestNoovoAPI","","","Noovo coordinate validation",""
"passed","Fri Sep 05 09:34:08 GMT 2025","Fri Sep 05 09:34:08 GMT 2025","363","tests.api","test_reqres_api","TestReqresAPI","","","Update user",""
"passed","Fri Sep 05 09:39:04 GMT 2025","Fri Sep 05 09:39:04 GMT 2025","448","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 09:36:58 GMT 2025","Fri Sep 05 09:36:59 GMT 2025","1498","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
