"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Marketing Site","Homepage","","2","0","14","0","0"
"Marketing Site","Home/ Mobile Banner","","2","0","4","0","0"
"API Testing","Noovo API","Structure Validation","1","0","0","0","0"
"Marketing Site","Home/ Contact Form","","0","0","10","0","0"
"Marketing Site","Home/ Contact Banner","","0","0","2","0","0"
"Marketing Site","Home/ Heading","","0","0","4","0","0"
"Marketing Site","Home/ Process Banner","","0","0","2","0","0"
"Marketing Site","Home/ Footer","","0","0","8","0","0"
"API Testing","Noovo API","Integration","1","0","0","0","0"
"API Testing","Noovo API","Error Handling","1","0","0","0","0"
"API Testing","Reqres API","Resources","2","0","0","0","0"
"API Testing","Noovo API","Data Validation","1","0","0","0","0"
"API Testing","Noovo API","Get Noovo List","1","0","0","0","0"
"API Testing","Reqres API","Authentication","2","0","0","0","0"
"API Testing","Reqres API","Users","5","0","0","0","0"
"API Testing","Noovo API","Performance","1","0","0","0","0"
