"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 13:05:44 GMT 2025","Fri Sep 05 13:05:47 GMT 2025","3119","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Login form validation - invalid email format","Verify form validation when using invalid email format"
"passed","Fri Sep 05 13:07:39 GMT 2025","Fri Sep 05 13:07:39 GMT 2025","73","tests.web.client","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Fri Sep 05 13:06:12 GMT 2025","Fri Sep 05 13:06:12 GMT 2025","79","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 13:07:43 GMT 2025","Fri Sep 05 13:07:43 GMT 2025","61","tests.web.client","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Fri Sep 05 13:05:48 GMT 2025","Fri Sep 05 13:05:48 GMT 2025","389","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Login page refresh clears inputs","Verify that refreshing the login page clears all inputs"
"passed","Fri Sep 05 13:06:22 GMT 2025","Fri Sep 05 13:06:24 GMT 2025","1523","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form - Successful Submission",""
"passed","Fri Sep 05 13:03:52 GMT 2025","Fri Sep 05 13:03:52 GMT 2025","127","tests.api","test_reqres_api","TestReqresAPI","","","Get single resource",""
"passed","Fri Sep 05 13:07:07 GMT 2025","Fri Sep 05 13:07:07 GMT 2025","41","tests.web.client","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Fri Sep 05 13:03:46 GMT 2025","Fri Sep 05 13:03:48 GMT 2025","1566","tests.api","test_noovo_api","TestNoovoAPI","","","Multiple API requests workflow",""
"passed","Fri Sep 05 13:03:50 GMT 2025","Fri Sep 05 13:03:50 GMT 2025","240","tests.api","test_reqres_api","TestReqresAPI","","","Create user",""
"passed","Fri Sep 05 13:03:51 GMT 2025","Fri Sep 05 13:03:51 GMT 2025","231","tests.api","test_reqres_api","TestReqresAPI","","","Delete user",""
"passed","Fri Sep 05 13:03:50 GMT 2025","Fri Sep 05 13:03:50 GMT 2025","150","tests.api","test_reqres_api","TestReqresAPI","","","Get users list",""
"passed","Fri Sep 05 13:05:55 GMT 2025","Fri Sep 05 13:05:56 GMT 2025","1576","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"skipped","Fri Sep 05 13:05:44 GMT 2025","Fri Sep 05 13:05:44 GMT 2025","0","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Successful login with 2FA","User logs in with valid credentials and valid 2FA code"
"passed","Fri Sep 05 13:03:39 GMT 2025","Fri Sep 05 13:03:42 GMT 2025","2344","tests.api","test_noovo_api","TestNoovoAPI","","","Get noovo list validation",""
"passed","Fri Sep 05 13:03:43 GMT 2025","Fri Sep 05 13:03:44 GMT 2025","1441","tests.api","test_noovo_api","TestNoovoAPI","","","Noovo coordinate validation",""
"passed","Fri Sep 05 13:07:00 GMT 2025","Fri Sep 05 13:07:01 GMT 2025","1891","tests.web.client","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"failed","Fri Sep 05 13:08:22 GMT 2025","Fri Sep 05 13:08:27 GMT 2025","5443","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 13:06:40 GMT 2025","Fri Sep 05 13:06:41 GMT 2025","1508","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 13:06:30 GMT 2025","Fri Sep 05 13:06:31 GMT 2025","1511","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 13:03:42 GMT 2025","Fri Sep 05 13:03:43 GMT 2025","795","tests.api","test_noovo_api","TestNoovoAPI","","","Get nonexistent item error handling",""
