"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 14:39:16 GMT 2025","Fri Sep 05 14:39:16 GMT 2025","354","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Login page refresh clears inputs","Verify that refreshing the login page clears all inputs"
"passed","Fri Sep 05 14:38:45 GMT 2025","Fri Sep 05 14:38:45 GMT 2025","374","tests.api","test_reqres_api","TestReqresAPI","","","Delete user",""
"passed","Fri Sep 05 14:41:07 GMT 2025","Fri Sep 05 14:41:07 GMT 2025","146","tests.web.client","test_home_page","TestHomepage","","","Homepage Contact Banner validation",""
"passed","Fri Sep 05 14:40:50 GMT 2025","Fri Sep 05 14:40:50 GMT 2025","26","tests.web.client","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 14:38:43 GMT 2025","Fri Sep 05 14:38:44 GMT 2025","405","tests.api","test_reqres_api","TestReqresAPI","","","Get single user",""
"passed","Fri Sep 05 14:38:42 GMT 2025","Fri Sep 05 14:38:43 GMT 2025","1181","tests.api","test_noovo_api","TestNoovoAPI","","","All noovo structure validation",""
"passed","Fri Sep 05 14:41:14 GMT 2025","Fri Sep 05 14:41:14 GMT 2025","130","tests.web.client","test_home_page","TestHomepage","","","Homepage Contact Banner validation",""
"passed","Fri Sep 05 14:40:08 GMT 2025","Fri Sep 05 14:40:08 GMT 2025","90","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 14:38:37 GMT 2025","Fri Sep 05 14:38:38 GMT 2025","1300","tests.api","test_noovo_api","TestNoovoAPI","","","Noovo coordinate validation",""
"passed","Fri Sep 05 14:40:25 GMT 2025","Fri Sep 05 14:40:27 GMT 2025","1504","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 14:38:45 GMT 2025","Fri Sep 05 14:38:45 GMT 2025","270","tests.api","test_reqres_api","TestReqresAPI","","","Update user",""
"passed","Fri Sep 05 14:41:26 GMT 2025","Fri Sep 05 14:41:34 GMT 2025","8005","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"failed","Fri Sep 05 14:41:53 GMT 2025","Fri Sep 05 14:41:58 GMT 2025","5470","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
