"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 02 16:46:35 GMT 2025","Tue Sep 02 16:46:35 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Header validation",""
"broken","Tue Sep 02 16:46:19 GMT 2025","Tue Sep 02 16:46:19 GMT 2025","0","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"broken","Tue Sep 02 16:46:14 GMT 2025","Tue Sep 02 16:46:14 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form - Successful Submission",""
"broken","Tue Sep 02 16:45:57 GMT 2025","Tue Sep 02 16:45:57 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Tue Sep 02 16:43:41 GMT 2025","Tue Sep 02 16:43:43 GMT 2025","1513","tests.api","test_boxes","","","","GET /open_api/boxes returns list and minimal shape",""
"broken","Tue Sep 02 16:46:24 GMT 2025","Tue Sep 02 16:46:24 GMT 2025","0","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Tue Sep 02 16:43:43 GMT 2025","Tue Sep 02 16:43:44 GMT 2025","1363","tests.api","test_boxes_contract","","","","Boxes contract — minimal keys present on first item",""
"broken","Tue Sep 02 16:46:46 GMT 2025","Tue Sep 02 16:46:46 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"passed","Tue Sep 02 16:46:58 GMT 2025","Tue Sep 02 16:46:58 GMT 2025","0","tests.web.mobile","test_mobile_home","","","","test_mobile_home_placeholder","Placeholder test for mobile web flows."
"passed","Tue Sep 02 16:43:47 GMT 2025","Tue Sep 02 16:43:48 GMT 2025","1304","tests.api","test_boxes_scheme_param","","","","test_schema_all_items",""
"broken","Tue Sep 02 16:45:52 GMT 2025","Tue Sep 02 16:45:52 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"broken","Tue Sep 02 16:46:30 GMT 2025","Tue Sep 02 16:46:30 GMT 2025","0","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"broken","Tue Sep 02 16:47:03 GMT 2025","Tue Sep 02 16:47:03 GMT 2025","0","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"broken","Tue Sep 02 16:46:41 GMT 2025","Tue Sep 02 16:46:41 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"passed","Tue Sep 02 16:43:44 GMT 2025","Tue Sep 02 16:43:45 GMT 2025","775","tests.api","test_boxes_negative","","","","test_boxes_invalid_path",""
"broken","Tue Sep 02 16:46:03 GMT 2025","Tue Sep 02 16:46:03 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"broken","Tue Sep 02 16:47:08 GMT 2025","Tue Sep 02 16:47:08 GMT 2025","0","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"broken","Tue Sep 02 16:46:08 GMT 2025","Tue Sep 02 16:46:08 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"broken","Tue Sep 02 16:46:57 GMT 2025","Tue Sep 02 16:46:57 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Footer validation",""
"broken","Tue Sep 02 16:46:52 GMT 2025","Tue Sep 02 16:46:52 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Contact Banner validation",""
"broken","Tue Sep 02 16:47:14 GMT 2025","Tue Sep 02 16:47:14 GMT 2025","0","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Tue Sep 02 16:43:45 GMT 2025","Tue Sep 02 16:43:46 GMT 2025","873","tests.api","test_boxes_negative","","","","test_boxes_method_not_allowed",""
