"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 15:51:07 GMT 2025","Fri Sep 05 15:51:07 GMT 2025","29","tests.web.client","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 15:47:39 GMT 2025","Fri Sep 05 15:47:39 GMT 2025","231","tests.api","test_reqres_api","TestReqresAPI","","","Create user",""
"passed","Fri Sep 05 15:49:53 GMT 2025","Fri Sep 05 15:49:54 GMT 2025","1511","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:47:35 GMT 2025","Fri Sep 05 15:47:36 GMT 2025","883","tests.api","test_noovo_api","TestNoovoAPI","","","Get nonexistent item error handling",""
"passed","Fri Sep 05 15:47:33 GMT 2025","Fri Sep 05 15:47:34 GMT 2025","1496","tests.api","test_noovo_api","TestNoovoAPI","","","Noovo coordinate validation",""
"passed","Fri Sep 05 15:50:42 GMT 2025","Fri Sep 05 15:50:43 GMT 2025","1551","tests.web.client","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Fri Sep 05 15:47:39 GMT 2025","Fri Sep 05 15:47:39 GMT 2025","262","tests.api","test_reqres_api","TestReqresAPI","","","Delete user",""
"skipped","Fri Sep 05 15:49:38 GMT 2025","Fri Sep 05 15:49:38 GMT 2025","0","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Successful login with 2FA","User logs in with valid credentials and valid 2FA code"
"passed","Fri Sep 05 15:49:34 GMT 2025","Fri Sep 05 15:49:36 GMT 2025","2167","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Login form validation - invalid email format","Verify form validation when using invalid email format"
"passed","Fri Sep 05 15:49:45 GMT 2025","Fri Sep 05 15:49:45 GMT 2025","93","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:50:24 GMT 2025","Fri Sep 05 15:50:25 GMT 2025","1497","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:47:36 GMT 2025","Fri Sep 05 15:47:38 GMT 2025","1661","tests.api","test_noovo_api","TestNoovoAPI","","","Multiple API requests workflow",""
"passed","Fri Sep 05 15:47:39 GMT 2025","Fri Sep 05 15:47:39 GMT 2025","172","tests.api","test_reqres_api","TestReqresAPI","","","Get resources list",""
"passed","Fri Sep 05 15:50:00 GMT 2025","Fri Sep 05 15:50:02 GMT 2025","1533","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:51:13 GMT 2025","Fri Sep 05 15:51:13 GMT 2025","65","tests.web.client","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"passed","Fri Sep 05 15:47:36 GMT 2025","Fri Sep 05 15:47:38 GMT 2025","1355","tests.api","test_noovo_api","TestNoovoAPI","","","All noovo structure validation",""
"passed","Fri Sep 05 15:49:39 GMT 2025","Fri Sep 05 15:49:39 GMT 2025","671","tests.web.admin.login_portal","test_session_persistence","TestSessionPersistence","","","Direct Access to Profile Page with Auth Cookie","Verify profile page can be accessed directly with authentication cookies"
"passed","Fri Sep 05 15:51:15 GMT 2025","Fri Sep 05 15:51:15 GMT 2025","88","tests.web.client","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"passed","Fri Sep 05 15:50:26 GMT 2025","Fri Sep 05 15:50:27 GMT 2025","1565","tests.web.client","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Fri Sep 05 15:51:33 GMT 2025","Fri Sep 05 15:51:41 GMT 2025","7468","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"failed","Fri Sep 05 15:52:04 GMT 2025","Fri Sep 05 15:52:10 GMT 2025","5684","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 15:50:00 GMT 2025","Fri Sep 05 15:50:02 GMT 2025","1545","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form - Successful Submission",""
"passed","Fri Sep 05 15:50:53 GMT 2025","Fri Sep 05 15:50:53 GMT 2025","51","tests.web.client","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Fri Sep 05 15:51:28 GMT 2025","Fri Sep 05 15:51:28 GMT 2025","45","tests.web.client","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Fri Sep 05 15:51:27 GMT 2025","Fri Sep 05 15:51:27 GMT 2025","72","tests.web.client","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Fri Sep 05 15:51:36 GMT 2025","Fri Sep 05 15:51:43 GMT 2025","6979","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"passed","Fri Sep 05 15:47:38 GMT 2025","Fri Sep 05 15:47:38 GMT 2025","173","tests.api","test_reqres_api","TestReqresAPI","","","Get single user",""
"passed","Fri Sep 05 15:47:39 GMT 2025","Fri Sep 05 15:47:39 GMT 2025","232","tests.api","test_reqres_api","TestReqresAPI","","","Update user",""
"passed","Fri Sep 05 15:50:09 GMT 2025","Fri Sep 05 15:50:09 GMT 2025","65","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:51:47 GMT 2025","Fri Sep 05 15:51:49 GMT 2025","1273","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 15:51:08 GMT 2025","Fri Sep 05 15:51:08 GMT 2025","24","tests.web.client","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 15:47:40 GMT 2025","Fri Sep 05 15:47:40 GMT 2025","214","tests.api","test_reqres_api","TestReqresAPI","","","User registration",""
