"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 02 16:43:18 GMT 2025","Tue Sep 02 16:43:20 GMT 2025","1318","tests.api","test_boxes","","","","GET /open_api/boxes returns list and minimal shape",""
"broken","Tue Sep 02 16:50:52 GMT 2025","Tue Sep 02 16:50:52 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form - Successful Submission",""
"broken","Tue Sep 02 16:51:13 GMT 2025","Tue Sep 02 16:51:13 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Header validation",""
"broken","Tue Sep 02 16:50:57 GMT 2025","Tue Sep 02 16:50:57 GMT 2025","0","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Tue Sep 02 16:43:20 GMT 2025","Tue Sep 02 16:43:21 GMT 2025","1113","tests.api","test_boxes_contract","","","","Boxes contract — minimal keys present on first item",""
"broken","Tue Sep 02 16:51:24 GMT 2025","Tue Sep 02 16:51:24 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"broken","Tue Sep 02 16:51:51 GMT 2025","Tue Sep 02 16:51:51 GMT 2025","0","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"broken","Tue Sep 02 16:51:40 GMT 2025","Tue Sep 02 16:51:40 GMT 2025","0","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"broken","Tue Sep 02 16:51:46 GMT 2025","Tue Sep 02 16:51:46 GMT 2025","0","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Tue Sep 02 16:43:21 GMT 2025","Tue Sep 02 16:43:22 GMT 2025","652","tests.api","test_boxes_negative","","","","test_boxes_invalid_path",""
"broken","Tue Sep 02 16:51:30 GMT 2025","Tue Sep 02 16:51:30 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Contact Banner validation",""
"broken","Tue Sep 02 16:50:30 GMT 2025","Tue Sep 02 16:50:30 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Tue Sep 02 16:43:22 GMT 2025","Tue Sep 02 16:43:23 GMT 2025","633","tests.api","test_boxes_negative","","","","test_boxes_method_not_allowed",""
"broken","Tue Sep 02 16:51:02 GMT 2025","Tue Sep 02 16:51:02 GMT 2025","0","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"broken","Tue Sep 02 16:50:46 GMT 2025","Tue Sep 02 16:50:46 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"broken","Tue Sep 02 16:51:08 GMT 2025","Tue Sep 02 16:51:08 GMT 2025","0","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"broken","Tue Sep 02 16:50:35 GMT 2025","Tue Sep 02 16:50:35 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Tue Sep 02 16:43:23 GMT 2025","Tue Sep 02 16:43:24 GMT 2025","1073","tests.api","test_boxes_scheme_param","","","","test_schema_all_items",""
"broken","Tue Sep 02 16:51:19 GMT 2025","Tue Sep 02 16:51:19 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"passed","Tue Sep 02 16:51:35 GMT 2025","Tue Sep 02 16:51:35 GMT 2025","0","tests.web.mobile","test_mobile_home","","","","test_mobile_home_placeholder","Placeholder test for mobile web flows."
"broken","Tue Sep 02 16:50:41 GMT 2025","Tue Sep 02 16:50:41 GMT 2025","0","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"broken","Tue Sep 02 16:51:35 GMT 2025","Tue Sep 02 16:51:35 GMT 2025","0","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Footer validation",""
