"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 15:05:12 GMT 2025","Fri Sep 05 15:05:12 GMT 2025","79","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:04:06 GMT 2025","Fri Sep 05 15:04:06 GMT 2025","146","tests.api","test_reqres_api","TestReqresAPI","","","Get users list",""
"passed","Fri Sep 05 15:05:49 GMT 2025","Fri Sep 05 15:05:49 GMT 2025","66","tests.web.client","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Fri Sep 05 15:05:20 GMT 2025","Fri Sep 05 15:05:21 GMT 2025","1506","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:04:42 GMT 2025","Fri Sep 05 15:04:45 GMT 2025","3130","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Login with invalid 2FA code","User attempts login with correct email/password but incorrect 2FA code"
"passed","Fri Sep 05 15:04:00 GMT 2025","Fri Sep 05 15:04:02 GMT 2025","1049","tests.api","test_noovo_api","TestNoovoAPI","","","Noovo coordinate validation",""
"skipped","Fri Sep 05 15:04:37 GMT 2025","Fri Sep 05 15:04:37 GMT 2025","0","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Successful login with 2FA","User logs in with valid credentials and valid 2FA code"
"passed","Fri Sep 05 15:04:09 GMT 2025","Fri Sep 05 15:04:10 GMT 2025","417","tests.api","test_reqres_api","TestReqresAPI","","","Get single resource",""
"passed","Fri Sep 05 15:06:07 GMT 2025","Fri Sep 05 15:06:09 GMT 2025","1804","tests.web.client","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Fri Sep 05 15:06:04 GMT 2025","Fri Sep 05 15:06:04 GMT 2025","45","tests.web.client","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 15:06:19 GMT 2025","Fri Sep 05 15:06:20 GMT 2025","76","tests.web.client","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"passed","Fri Sep 05 15:04:02 GMT 2025","Fri Sep 05 15:04:03 GMT 2025","1154","tests.api","test_noovo_api","TestNoovoAPI","","","API response time validation",""
"passed","Fri Sep 05 15:05:29 GMT 2025","Fri Sep 05 15:05:31 GMT 2025","1811","tests.web.client","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Fri Sep 05 15:04:07 GMT 2025","Fri Sep 05 15:04:07 GMT 2025","307","tests.api","test_reqres_api","TestReqresAPI","","","Get single user",""
"passed","Fri Sep 05 15:04:11 GMT 2025","Fri Sep 05 15:04:11 GMT 2025","395","tests.api","test_reqres_api","TestReqresAPI","","","User registration",""
"passed","Fri Sep 05 15:05:03 GMT 2025","Fri Sep 05 15:05:04 GMT 2025","1525","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:05:58 GMT 2025","Fri Sep 05 15:06:00 GMT 2025","1833","tests.web.client","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"failed","Fri Sep 05 15:07:13 GMT 2025","Fri Sep 05 15:07:19 GMT 2025","5441","tests.web.client","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Fri Sep 05 15:05:29 GMT 2025","Fri Sep 05 15:05:31 GMT 2025","1519","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:04:52 GMT 2025","Fri Sep 05 15:04:54 GMT 2025","1514","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 15:04:38 GMT 2025","Fri Sep 05 15:04:38 GMT 2025","748","tests.web.admin.login_portal","test_session_persistence","TestSessionPersistence","","","Direct Access to Profile Page with Auth Cookie","Verify profile page can be accessed directly with authentication cookies"
