"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 02 16:51:52 GMT 2025","Tue Sep 02 16:51:52 GMT 2025","140","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Tue Sep 02 16:53:36 GMT 2025","Tue Sep 02 16:53:36 GMT 2025","0","tests.web.mobile","test_mobile_home","","","","test_mobile_home_placeholder","Placeholder test for mobile web flows."
"passed","Tue Sep 02 16:52:56 GMT 2025","Tue Sep 02 16:52:57 GMT 2025","1837","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Tue Sep 02 16:52:00 GMT 2025","Tue Sep 02 16:52:02 GMT 2025","1585","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Tue Sep 02 16:52:36 GMT 2025","Tue Sep 02 16:52:38 GMT 2025","1881","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Tue Sep 02 16:53:05 GMT 2025","Tue Sep 02 16:53:05 GMT 2025","62","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Tue Sep 02 16:53:42 GMT 2025","Tue Sep 02 16:53:49 GMT 2025","7501","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"passed","Tue Sep 02 16:53:57 GMT 2025","Tue Sep 02 16:53:58 GMT 2025","1277","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Tue Sep 02 16:53:35 GMT 2025","Tue Sep 02 16:53:35 GMT 2025","72","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Tue Sep 02 16:49:48 GMT 2025","Tue Sep 02 16:49:49 GMT 2025","1545","tests.api","test_boxes","","","","GET /open_api/boxes returns list and minimal shape",""
"passed","Tue Sep 02 16:52:09 GMT 2025","Tue Sep 02 16:52:11 GMT 2025","1556","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"failed","Tue Sep 02 16:54:36 GMT 2025","Tue Sep 02 16:54:42 GMT 2025","5506","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Tue Sep 02 16:52:46 GMT 2025","Tue Sep 02 16:52:48 GMT 2025","1834","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Tue Sep 02 16:53:27 GMT 2025","Tue Sep 02 16:53:27 GMT 2025","122","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Contact Banner validation",""
"passed","Tue Sep 02 16:53:13 GMT 2025","Tue Sep 02 16:53:13 GMT 2025","44","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"passed","Tue Sep 02 16:53:20 GMT 2025","Tue Sep 02 16:53:20 GMT 2025","90","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"passed","Tue Sep 02 16:49:52 GMT 2025","Tue Sep 02 16:49:53 GMT 2025","793","tests.api","test_boxes_negative","","","","test_boxes_method_not_allowed",""
"passed","Tue Sep 02 16:52:18 GMT 2025","Tue Sep 02 16:52:20 GMT 2025","1556","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Tue Sep 02 16:49:50 GMT 2025","Tue Sep 02 16:49:51 GMT 2025","1311","tests.api","test_boxes_contract","","","","Boxes contract — minimal keys present on first item",""
"passed","Tue Sep 02 16:49:53 GMT 2025","Tue Sep 02 16:49:55 GMT 2025","1291","tests.api","test_boxes_scheme_param","","","","test_schema_all_items",""
"passed","Tue Sep 02 16:52:27 GMT 2025","Tue Sep 02 16:52:29 GMT 2025","1557","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form - Successful Submission",""
"passed","Tue Sep 02 16:49:51 GMT 2025","Tue Sep 02 16:49:52 GMT 2025","844","tests.api","test_boxes_negative","","","","test_boxes_invalid_path",""
