"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 13:37:45 GMT 2025","Fri Sep 05 13:37:45 GMT 2025","346","tests.api","test_reqres_api","TestReqresAPI","","","User registration",""
"passed","Fri Sep 05 13:39:32 GMT 2025","Fri Sep 05 13:39:32 GMT 2025","47","tests.web.client","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Fri Sep 05 13:40:08 GMT 2025","Fri Sep 05 13:40:08 GMT 2025","70","tests.web.client","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Fri Sep 05 13:37:32 GMT 2025","Fri Sep 05 13:37:34 GMT 2025","2198","tests.api","test_noovo_api","TestNoovoAPI","","","Get noovo list validation",""
"passed","Fri Sep 05 13:37:34 GMT 2025","Fri Sep 05 13:37:35 GMT 2025","795","tests.api","test_noovo_api","TestNoovoAPI","","","Get nonexistent item error handling",""
"passed","Fri Sep 05 13:37:42 GMT 2025","Fri Sep 05 13:37:42 GMT 2025","219","tests.api","test_reqres_api","TestReqresAPI","","","Create user",""
"passed","Fri Sep 05 13:38:22 GMT 2025","Fri Sep 05 13:38:22 GMT 2025","130","tests.web.client","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Fri Sep 05 13:39:16 GMT 2025","Fri Sep 05 13:39:17 GMT 2025","1814","tests.web.client","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Fri Sep 05 13:37:43 GMT 2025","Fri Sep 05 13:37:43 GMT 2025","288","tests.api","test_reqres_api","TestReqresAPI","","","Delete user",""
"skipped","Fri Sep 05 13:38:09 GMT 2025","Fri Sep 05 13:38:09 GMT 2025","0","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Successful login without 2FA","User logs in with valid credentials and no 2FA"
"passed","Fri Sep 05 13:39:52 GMT 2025","Fri Sep 05 13:39:52 GMT 2025","67","tests.web.client","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"passed","Fri Sep 05 13:37:44 GMT 2025","Fri Sep 05 13:37:44 GMT 2025","105","tests.api","test_reqres_api","TestReqresAPI","","","Get resources list",""
"passed","Fri Sep 05 13:38:09 GMT 2025","Fri Sep 05 13:38:11 GMT 2025","2121","tests.web.admin.login_portal","test_login_portal","TestLogin","","","Login form validation - invalid email format","Verify form validation when using invalid email format"
